URL,Performance Score,Speed Index (s)
https://www.kampunginggris.id/soal-toefl-structure-dan-jawabannya,21.0,7.8
https://www.kampunginggris.id/beasiswa-s1-luar-negeri-2020,17.0,9.2
https://www.kampunginggris.id/contoh-dialog-bahasa-inggris-tentang-perkenalan-panjang,21.0,7.82
https://www.kampunginggris.id/contoh-percakapan-bahasa-inggris-perkenalan,35.0,7.73
https://www.kampunginggris.id/contoh-dialog-bahasa-inggris-3-orang-tentang-perkenalan,28.000000000000004,8.28
https://www.kampunginggris.id/cara-berterimakasih-dalam-bahasa-inggris,30.0,7.81
https://www.kampunginggris.id/8-cara-lain-untuk-bilang-terima-kasih-dalam-bahasa-inggris,28.999999999999996,7.78
https://www.kampunginggris.id/giving-opinion-dalam-beragam-situasi,25.0,9.19
https://www.kampunginggris.id/penggunaan-asking-and-giving-opinion-beserta-contoh,38.0,6.31
https://www.kampunginggris.id/contoh-dialog-asking-dan-giving-opinion-dalam-bahasa-inggris,34.0,7.73
https://www.kampunginggris.id/asking-and-giving-opinion,30.0,7.59
https://www.kampunginggris.id/pengertian-perfect-tense-disertai-rumus-dan-contoh,20.0,9.07
https://www.kampunginggris.id/pengertian-struktur-unsur-bahasa-dan-contoh-procedure-text-singkat,26.0,7.66
https://www.kampunginggris.id/bahasa-slang-asal-usul-dan-contoh,39.0,7.07
https://www.kampunginggris.id/daftar-materi-grammar-yang-harus-kamu-pelajari-2020,44.0,7.79
https://www.kampunginggris.id/materi-materi-grammar-ini-sering-diajukan-tes-toefl,22.0,7.56
https://www.kampunginggris.id/materi-les-bahasa-inggris-untuk-usia-anak-tk,34.0,7.59
https://www.kampunginggris.id/materi-les-bahasa-inggris-untuk-kamu-anak-kelas-7-9,65.0,6.69
https://www.kampunginggris.id/gunakan-materi-ini-untuk-si-buah-hati-belajar-bahasa-inggris-lebih-mudah,11.0,8.86
https://www.kampunginggris.id/berpendapat-dalam-bahasa-inggris,34.0,7.13
https://www.kampunginggris.id/materi-belajar-bahasa-inggris-yang-cocok-untuk-anak-kelas-3-sd-terbaru,20.0,8.61
https://www.kampunginggris.id/materi-yang-cocok-untuk-belajar-bahasa-inggris-anak-kelas-2-sd-terbaru,21.0,8.01
https://www.kampunginggris.id/materi-les-bahasa-inggris-untuk-usia-anak-sd,27.0,8.07
https://www.kampunginggris.id/materi-bahasa-inggris-untuk-anak-sd-kelas-2,40.0,7.49
https://www.kampunginggris.id/lengkap-materi-bahasa-inggris-untuk-anak-sd-kelas-2,33.0,7.51
https://www.kampunginggris.id/terbaru-materi-yang-cocok-untuk-belajar-bahasa-inggris-anak-kelas-6-sd,34.0,8.14
https://www.kampunginggris.id/materi-bahasa-inggris-untuk-anak-sd-kelas-6,26.0,7.7
https://www.kampunginggris.id/cara-menulis-cv-dan-resume-dalam-bahasa-inggris-lengkap-dengan-contohnya,27.0,6.81
https://www.kampunginggris.id/pengertian-continuous-tense-disertai-rumus-dan-contoh,21.0,8.16
https://www.kampunginggris.id/pengertian-jenis-dan-contoh-adverb-dalam-bahasa-inggris,19.0,7.61
https://www.kampunginggris.id/simple-present-tense-rumus-dan-contohnya,30.0,8.81
https://www.kampunginggris.id/jenis-dan-contoh-surat-bahasa-inggris-dan-bahasanya,39.0,8.29
https://www.kampunginggris.id/pengertian-irregular-verb-dan-contoh-kalimat,28.000000000000004,8.61
https://www.kampunginggris.id/warna-dalam-bahasa-inggris-dan-penggunaan-kosa-katanya,19.0,9.02
https://www.kampunginggris.id/cara-membuat-kalimat-tanya-dalam-bahasa-inggris,15.0,8.95
https://www.kampunginggris.id/tempat-kursus-bahasa-inggris-di-kampung-inggris-pare,16.0,8.17
https://www.kampunginggris.id/tips-memilih-tempat-kursus-bahasa-inggris,26.0,8.66
https://www.kampunginggris.id/bahasa-inggris-puasa,28.000000000000004,8.23
https://www.kampunginggris.id/dialog-reservation-dalam-bahasa-inggris,20.0,8.84
https://www.kampunginggris.id/ucapan-valentine-yang-menyentuh-hati,18.0,6.81
https://www.kampunginggris.id/nama-nama-benda-dalam-bahasa-inggris,21.0,8.22
https://www.kampunginggris.id/pidato-bahasa-inggris-singkat-tentang-semangat-belajar,27.0,7.66
https://www.kampunginggris.id/motto-hidup-dalam-bahasa-inggris,34.0,8.41
https://www.kampunginggris.id/liburan-asik-di-kampung-inggris-pare,11.0,8.63
https://www.kampunginggris.id/candi-tegowangi-wisata-sejarah-penuh-pesona-kampung-inggris-pare,22.0,8.53
https://www.kampunginggris.id/rute-ke-kampung-inggris,21.0,8.35
https://www.kampunginggris.id/panduan-transportasi-ke-kampung-inggris-dengan-kereta-api,23.0,6.77
https://www.kampunginggris.id/tentang-kampung-inggris-gambaran-umum-dan-sejarah,36.0,9.25
https://www.kampunginggris.id/tempat-liburan-yang-asik-di-sekitar-kampung-inggris,22.0,8.96
https://www.kampunginggris.id/daftar-camp-lc-kampung-inggris-pare,32.0,8.92
https://www.kampunginggris.id/program-dan-biaya-kampung-inggris,24.0,11.83
https://www.kampunginggris.id/tempat-kursus-bahasa-inggris-terbaik-di-indonesia,32.0,8.2
https://www.kampunginggris.id/tempat-refreshing-di-kampung-inggris,28.999999999999996,7.37
https://www.kampunginggris.id/tempat-kursus-bahasa-inggris-di-pare,36.0,7.6
https://www.kampunginggris.id/kursus-singkat-bahasa-inggris,22.0,8.75
https://www.kampunginggris.id/kursus-singkat-di-kampung-inggris,32.0,7.59
https://www.kampunginggris.id/kost-di-kampung-inggris,23.0,7.74
https://www.kampunginggris.id/6-budaya-unik-di-kampung-inggris,34.0,8.28
https://www.kampunginggris.id/budaya-ngobrol-bahasa-inggris-di-pare-kampung-inggris,33.0,8.39
https://www.kampunginggris.id/hotel-hotel-di-kampung-inggris-pare,38.0,8.84
https://www.kampunginggris.id/rekomendasi-tempat-berburu-oleh-oleh-khas-kampung-inggris-pare,43.0,8.68
https://www.kampunginggris.id/biaya-kampung-inggris-pare,16.0,8.18
https://www.kampunginggris.id/perkiraan-budget-selama-sebulan-di-kampung-inggris-pare,28.000000000000004,7.6
https://www.kampunginggris.id/kampung-inggris-pare-kampung-spesial-dengan-fasilitas-oke-biaya-hidup-murah,26.0,8.32
https://www.kampunginggris.id/alamat-lokasi-dan-peta-kampung-inggris,38.0,8.15
https://www.kampunginggris.id/info-penting-kampung-inggris,28.999999999999996,10.54
https://www.kampunginggris.id/memilih-tempat-tinggal-di-kampung-inggris-camp-atau-kos,55.00000000000001,7.95
https://www.kampunginggris.id/informasi-lengkap-program-belajar-bahasa-inggris-akhir-tahun-kampung-inggris,35.0,7.77
https://www.kampunginggris.id/hal-hal-yang-perlu-kamu-perhatikan-ketika-ingin-menyewa-sepeda-di-kampung-inggris,21.0,7.7
https://www.kampunginggris.id/skill-bahasa-inggris-gitu-gitu-aja-improve-belajar-di-kampung-inggris,31.0,7.18
https://www.kampunginggris.id/suasana-liburan-desember-di-kampung-inggris-pare,39.0,8.78
https://www.kampunginggris.id/durasi-program-kampung-inggris-pare,22.0,8.68
https://www.kampunginggris.id/kampung-inggris-pare-udah-gak-aman-benarkah,43.0,8.83
https://www.kampunginggris.id/hal-hal-yang-akan-kamu-rindukan-dari-kampung-inggris-pare,42.0,8.52
https://www.kampunginggris.id/fakta-unik-kampung-inggris-kediri,10.0,8.69
https://www.kampunginggris.id/kampung-inggris-online-belajar-bahasa-inggris-dirumahaja,38.0,8.56
https://www.kampunginggris.id/lebaran-di-kampung-inggris-pare,47.0,8.75
https://www.kampunginggris.id/kampung-inggris-kampung-intelektual,32.0,9.09
https://www.kampunginggris.id/menggunakan-sepedah-di-kampung-inggris-haruskah,35.0,10.07
https://www.kampunginggris.id/kampung-inggris-pare-belajar-bahasa-inggris-belajar-berbagai-macam-budaya,38.0,8.33
https://www.kampunginggris.id/kampung-inggris-pare-kediri-dan-kearifan-lokalnya,27.0,8.01
https://www.kampunginggris.id/kampung-inggris-tempat-kursus-bahasa-inggris-cepat-dan-murah,41.0,8.3
https://www.kampunginggris.id/kampung-inggris-pare,48.0,7.53
https://www.kampunginggris.id/awardee-toefl-training-lc-kampung-inggris-pare-annisa-intan-pratiwi-from-tegal,43.0,8.69
https://www.kampunginggris.id/aku-bakal-lanjut-balik-ke-lc-ricco-prayoga-from-banten,42.0,7.9
https://www.kampunginggris.id/pengajaran-para-tutor-enjoy-banget-jadi-bikin-nyaman-untuk-belajar-di-lc-ficha-gita-s-from-depok,37.0,9.03
https://www.kampunginggris.id/terimakasih-lc-sudah-memberikan-kesempatan-belajar-yang-luar-biasa-rabiatul-adawaiyah-from-padang,44.0,8.38
