URL,Performance Score,Speed Index (s),LCP (s),INP (ms),CLS,Waktu Pengukuran
https://www.kampunginggris.id/soal-toefl-structure-dan-jawabannya,83.0,1.48,1.38,0,0.312,2025-03-25 09:21:29
https://www.kampunginggris.id/beasiswa-s1-luar-negeri-2020,75.0,1.2,1.03,0,0.839,2025-03-25 09:22:06
https://www.kampunginggris.id/contoh-dialog-bahasa-inggris-tentang-perkenalan-panjang,79.0,1.55,1.38,0,0.359,2025-03-25 09:22:44
https://www.kampunginggris.id/contoh-percakapan-bahasa-inggris-perkenalan,81.0,2.15,1.26,0,0.383,2025-03-25 09:23:46
https://www.kampunginggris.id/contoh-dialog-bahasa-inggris-3-orang-tentang-perkenalan,77.0,1.88,1.42,0,0.538,2025-03-25 09:24:27
https://www.kampunginggris.id/cara-berterimakasih-dalam-bahasa-inggris,78.0,1.34,1.17,0,0.486,2025-03-25 09:25:02
https://www.kampunginggris.id/8-cara-lain-untuk-bilang-terima-kasih-dalam-bahasa-inggris,78.0,1.27,1.12,0,0.432,2025-03-25 09:25:38
https://www.kampunginggris.id/giving-opinion-dalam-beragam-situasi,78.0,1.72,1.52,0,0.492,2025-03-25 09:26:13
https://www.kampunginggris.id/penggunaan-asking-and-giving-opinion-beserta-contoh,75.0,1.53,1.35,0,0.922,2025-03-25 09:26:47
https://www.kampunginggris.id/contoh-dialog-asking-dan-giving-opinion-dalam-bahasa-inggris,74.0,1.97,1.7,0,0.948,2025-03-25 09:27:23
https://www.kampunginggris.id/asking-and-giving-opinion,75.0,1.39,1.21,0,0.944,2025-03-25 09:28:00
https://www.kampunginggris.id/pengertian-perfect-tense-disertai-rumus-dan-contoh,76.0,1.19,1.52,0,0.676,2025-03-25 09:28:37
https://www.kampunginggris.id/pengertian-struktur-unsur-bahasa-dan-contoh-procedure-text-singkat,75.0,1.72,1.5,0,1.098,2025-03-25 09:29:14
https://www.kampunginggris.id/bahasa-slang-asal-usul-dan-contoh,66.0,1.51,1.31,0,1.54,2025-03-25 09:30:04
https://www.kampunginggris.id/daftar-materi-grammar-yang-harus-kamu-pelajari-2020,80.0,1.11,0.96,0,0.203,2025-03-25 09:30:39
