URL,Performance Score,Speed Index (s),LCP (s),INP (ms),CLS,Waktu Pengukuran
https://www.kampunginggris.id/,74.0,3.38,3.31,0,0.023,2025-03-26 12:14:51
https://www.kampunginggris.id/form-konsultasi,91.0,2.22,1.83,0,0.008,2025-03-26 12:15:27
https://www.kampunginggris.id/form-pendaftaran,91.0,1.99,1.52,0,0.008,2025-03-26 12:15:58
https://www.kampunginggris.id/cabang-jogja,41.0,6.65,6.52,0,0,2025-03-26 12:16:48
https://www.kampunginggris.id/program-online-reguler,66.0,5.67,5.47,0,0.053,2025-03-26 12:17:32
https://www.kampunginggris.id/cabang-pare-program-english-master,60.0,4.19,4.14,0,0.023,2025-03-26 12:18:19
https://www.kampunginggris.id/cabang-pare-program-vip,87.0,3.42,3.35,0,0.052,2025-03-26 12:19:01
https://www.kampunginggris.id/cabang-pare-program-holiday-ceria,87.0,2.96,3.02,0,0.053,2025-03-26 12:19:50
https://www.kampunginggris.id/cabang-pare-program-toefl,95.0,2.61,2.51,0,0.023,2025-03-26 12:20:28
https://www.kampunginggris.id/cabang-pare,89.0,1.62,1.63,0,0,2025-03-26 12:21:16
https://www.kampunginggris.id/cabang-pare-program-intensive,87.0,2.66,2.57,0,0.052,2025-03-26 12:21:52
https://www.kampunginggris.id/cabang-bandung-program-holiday-ceria,73.0,4.29,4.19,0,0.031,2025-03-26 12:22:32
https://www.kampunginggris.id/cabang-bandung-program-integrated-speaking,81.0,3.51,3.46,0,0.025,2025-03-26 12:23:14
https://www.kampunginggris.id/cabang-bandung-program-intensive,89.0,2.87,2.78,0,0.014,2025-03-26 12:23:51
https://www.kampunginggris.id/cabang-makassar-program-intensive,77.0,3.6,3.56,0,0.062,2025-03-26 12:24:28
https://www.kampunginggris.id/cabang-makassar-program-holiday-ceria,79.0,3.67,3.57,0,0.031,2025-03-26 12:25:11
https://www.kampunginggris.id/cabang-makassar-program-integrated-speaking,91.0,2.33,2.24,0,0.103,2025-03-26 12:25:59
https://www.kampunginggris.id/cabang-medan-program-intensive,94.0,2.67,2.59,0,0.014,2025-03-26 12:26:37
https://www.kampunginggris.id/cabang-medan-program-holiday-ceria,97.0,2.34,2.25,0,0.013,2025-03-26 12:27:12
https://www.kampunginggris.id/cabang-medan-program-integrated-speaking,95.0,2.42,2.39,0,0.03,2025-03-26 12:27:49
https://www.kampunginggris.id/cabang-lampung-program-intensive,90.0,3.01,2.96,0,0.014,2025-03-26 12:28:31
https://www.kampunginggris.id/cabang-lampung-program-holiday-ceria,84.0,3.63,3.54,0,0.03,2025-03-26 12:29:09
https://www.kampunginggris.id/cabang-lampung-program-integrated-speaking,93.0,1.68,1.61,0,0.025,2025-03-26 12:29:44
https://www.kampunginggris.id/cabang-jogja-program-intensive,76.0,3.36,3.28,0,0.014,2025-03-26 12:30:21
https://www.kampunginggris.id/cabang-jogja-program-holiday-ceria,76.0,3.73,3.63,0,0.013,2025-03-26 12:30:58
https://www.kampunginggris.id/cabang-jogja-program-integrated-speaking,91.0,1.07,0.98,0,0.103,2025-03-26 12:31:45
https://www.kampunginggris.id/cabang-bogor-program-intensive,97.0,1.44,1.37,0,0.014,2025-03-26 12:32:23
https://www.kampunginggris.id/cabang-bogor-program-integrated-speaking,82.0,3.19,3.16,0,0.025,2025-03-26 12:32:59
https://www.kampunginggris.id/cabang-bogor-program-holiday-ceria,95.0,1.75,1.72,0,0.018,2025-03-26 12:33:41
https://www.kampunginggris.id/cabang-makassar,82.0,3.22,3.21,0,0,2025-03-26 12:34:21
https://www.kampunginggris.id/cabang-lampung,78.0,2.29,2.28,0,0,2025-03-26 12:34:58
https://www.kampunginggris.id/cabang-medan,57.0,6.55,6.3,0,0,2025-03-26 12:35:42
https://www.kampunginggris.id/cabang-bogor,91.0,2.81,2.83,0,0.013,2025-03-26 12:36:23
https://www.kampunginggris.id/cabang-bandung,94.0,2.57,2.55,0,0,2025-03-26 12:37:01
https://www.kampunginggris.id/program-online-private-deluxe,86.0,3.36,3.26,0,0.014,2025-03-26 12:37:38
https://www.kampunginggris.id/program-online-english-for-spesific-purpose,73.0,2.44,2.41,0,0.013,2025-03-26 12:38:18
https://www.kampunginggris.id/program-online-easy,82.0,3.53,3.46,0,0.014,2025-03-26 12:38:55
https://www.kampunginggris.id/program-online-english-smart-teens,81.0,3.46,3.37,0,0.013,2025-03-26 12:39:31
https://www.kampunginggris.id/program-online-english-smart-kids,64.0,5.63,5.49,0,0.013,2025-03-26 12:40:12
https://www.kampunginggris.id/online-program,84.0,3.41,3.41,0,0,2025-03-26 12:40:56
https://www.kampunginggris.id/serang-cabang,82.0,3.03,2.95,0,0.011,2025-03-26 12:41:35
https://www.kampunginggris.id/our-teacher,99.0,1.43,1.44,0,0,2025-03-26 12:42:06
https://www.kampunginggris.id/careers,73.0,1.6,2.01,0,0.301,2025-03-26 12:42:43
https://www.kampunginggris.id/about-us,91.0,2.06,2.05,0,0,2025-03-26 12:43:24
https://www.kampunginggris.id/privacy-policy-3,87.0,2.53,2.27,0,0.161,2025-03-26 12:44:00
https://www.kampunginggris.id/terms-conditions-3,88.0,2.11,1.67,0,0.104,2025-03-26 12:44:34
https://www.kampunginggris.id/offline-program,91.0,1.97,2.07,0,0.001,2025-03-26 12:45:11
https://www.kampunginggris.id/blog-lc-2,96.0,1.57,2.21,0,0,2025-03-26 12:45:42
https://www.kampunginggris.id/program-kidsteens,74.0,5.06,4.74,0,0.011,2025-03-26 12:46:26
https://www.kampunginggris.id/blog-lc,82.0,2.57,3.3,0,0,2025-03-26 12:47:03
https://www.kampunginggris.id/intensive-english-program-2-bulan,78.0,2.3,2.57,0,0.04,2025-03-26 12:47:45
https://www.kampunginggris.id/intensive-english-program-1-bulan,98.0,1.34,1.87,0,0.003,2025-03-26 12:48:31
https://www.kampunginggris.id/intensive-english-program-3-bulan,94.0,1.05,1.59,0,0.139,2025-03-26 12:49:12
https://www.kampunginggris.id/program/paket-kampung-inggris-full-service/paket-full-service-2-minggu,71.0,2.37,2.98,0,0.43,2025-03-26 12:49:45
https://www.kampunginggris.id/program-online,59.0,6.04,6.04,0,0,2025-03-26 12:50:31
https://www.kampunginggris.id/kampung-inggris-pare,95.0,1.75,1.31,0,0.056,2025-03-26 12:51:01
https://www.kampunginggris.id/kampung-inggris-online-belajar-bahasa-inggris-dirumahaja,91.0,2.17,1.53,0,0.162,2025-03-26 12:51:32
https://www.kampunginggris.id/faq,92.0,1.03,0.84,0,0.058,2025-03-26 12:52:04
https://www.kampunginggris.id/program-offline,77.0,3.18,3.04,0,0.169,2025-03-26 12:52:52
